Cuvant,Locatii
lost,"(Linia 136, Pozitia 14), (Linia 956, Pozitia 6), (Linia 957, Pozitia 5), (Linia 1152, Pozitia 6)"
lot,"(Linia 22, Pozitia 5), (Linia 39, Pozitia 11), (Linia 387, Pozitia 5), (Linia 522, Pozitia 7), (Linia 778, Pozitia 14), (Linia 907, Pozitia 3)"
lots,"(Linia 1196, Pozitia 13)"
love,"(Linia 319, Pozitia 7), (Linia 367, Pozitia 10), (Linia 377, Pozitia 6), (Linia 399, Pozitia 3), (Linia 780, Pozitia 1), (Linia 903, Pozitia 8), (Linia 1168, Pozitia 8), (Linia 1175, Pozitia 21), (Linia 1256, Pozitia 9)"
luck,"(Linia 356, Pozitia 8)"
loved,"(Linia 657, Pozitia 9), (Linia 1025, Pozitia 8)"
loves,"(Linia 312, Pozitia 3)"
lowered,"(Linia 1130, Pozitia 3)"
lowering,"(Linia 541, Pozitia 10)"
lucid,"(Linia 41, Pozitia 11)"
lugubrious,"(Linia 537, Pozitia 8)"
luck,"(Linia 669, Pozitia 2)"
lucky,"(Linia 668, Pozitia 3), (Linia 981, Pozitia 2)"
magnificent,"(Linia 17, Pozitia 11), (Linia 32, Pozitia 11)"
lying,"(Linia 772, Pozitia 12), (Linia 859, Pozitia 16)"
machine,"(Linia 1110, Pozitia 13), (Linia 1141, Pozitia 10)"
made,"(Linia 105, Pozitia 4), (Linia 155, Pozitia 4), (Linia 185, Pozitia 5), (Linia 209, Pozitia 8), (Linia 275, Pozitia 6), (Linia 284, Pozitia 2), (Linia 294, Pozitia 2), (Linia 317, Pozitia 4), (Linia 562, Pozitia 10), (Linia 676, Pozitia 9), (Linia 713, Pozitia 16), (Linia 761, Pozitia 7), (Linia 942, Pozitia 5), (Linia 967, Pozitia 9), (Linia 988, Pozitia 12), (Linia 1011, Pozitia 2), (Linia 1068, Pozitia 1), (Linia 1133, Pozitia 1), (Linia 1137, Pozitia 14), (Linia 1221, Pozitia 8)"
magnificent,"(Linia 421, Pozitia 16)"
maintained,"(Linia 759, Pozitia 7)"
majestic,"(Linia 415, Pozitia 4), (Linia 692, Pozitia 14)"
met,"(Linia 41, Pozitia 3)"
many,"(Linia 39, Pozitia 15)"
makes,"(Linia 300, Pozitia 2)"
majesty,"(Linia 496, Pozitia 3)"
make,"(Linia 50, Pozitia 11), (Linia 60, Pozitia 6), (Linia 175, Pozitia 9), (Linia 186, Pozitia 8), (Linia 188, Pozitia 1), (Linia 226, Pozitia 3), (Linia 304, Pozitia 6), (Linia 306, Pozitia 1), (Linia 463, Pozitia 3), (Linia 476, Pozitia 19), (Linia 501, Pozitia 2), (Linia 571, Pozitia 8), (Linia 772, Pozitia 5), (Linia 859, Pozitia 9), (Linia 899, Pozitia 1), (Linia 903, Pozitia 1), (Linia 938, Pozitia 11), (Linia 991, Pozitia 3), (Linia 1058, Pozitia 7), (Linia 1127, Pozitia 11), (Linia 1237, Pozitia 17)"
manage,"(Linia 486, Pozitia 12)"
makes,"(Linia 627, Pozitia 9), (Linia 704, Pozitia 12), (Linia 922, Pozitia 11), (Linia 956, Pozitia 11), (Linia 1033, Pozitia 1), (Linia 1193, Pozitia 16)"
man,"(Linia 46, Pozitia 2), (Linia 59, Pozitia 8), (Linia 299, Pozitia 13), (Linia 299, Pozitia 18), (Linia 300, Pozitia 11), (Linia 487, Pozitia 9), (Linia 505, Pozitia 9), (Linia 513, Pozitia 11), (Linia 514, Pozitia 12), (Linia 517, Pozitia 13), (Linia 525, Pozitia 5), (Linia 547, Pozitia 10), (Linia 602, Pozitia 4), (Linia 626, Pozitia 3), (Linia 969, Pozitia 2)"
managed,"(Linia 60, Pozitia 4)"
mantle,"(Linia 422, Pozitia 2)"
means,"(Linia 524, Pozitia 4)"
masterpiece,"(Linia 24, Pozitia 4)"
many,"(Linia 108, Pozitia 1), (Linia 164, Pozitia 6)"
march,"(Linia 1012, Pozitia 10), (Linia 1065, Pozitia 13)"
marveled,"(Linia 452, Pozitia 4)"
mass,"(Linia 1067, Pozitia 12)"
me,"(Linia 30, Pozitia 4), (Linia 37, Pozitia 6), (Linia 41, Pozitia 8), (Linia 50, Pozitia 3)"
matter,"(Linia 51, Pozitia 1), (Linia 77, Pozitia 5), (Linia 141, Pozitia 5), (Linia 227, Pozitia 3), (Linia 278, Pozitia 6)"
matters,"(Linia 740, Pozitia 3)"
may,"(Linia 192, Pozitia 16), (Linia 241, Pozitia 15)"
me,"(Linia 54, Pozitia 12), (Linia 55, Pozitia 4), (Linia 57, Pozitia 3), (Linia 59, Pozitia 12), (Linia 65, Pozitia 13), (Linia 70, Pozitia 5), (Linia 71, Pozitia 4), (Linia 73, Pozitia 1), (Linia 77, Pozitia 7), (Linia 81, Pozitia 12), (Linia 107, Pozitia 3), (Linia 107, Pozitia 18), (Linia 109, Pozitia 7), (Linia 110, Pozitia 11), (Linia 110, Pozitia 14), (Linia 117, Pozitia 14), (Linia 122, Pozitia 6), (Linia 131, Pozitia 9), (Linia 147, Pozitia 5), (Linia 198, Pozitia 16), (Linia 214, Pozitia 13), (Linia 227, Pozitia 11), (Linia 231, Pozitia 6), (Linia 232, Pozitia 17), (Linia 248, Pozitia 10), (Linia 253, Pozitia 17), (Linia 266, Pozitia 3), (Linia 266, Pozitia 6), (Linia 275, Pozitia 7), (Linia 281, Pozitia 7), (Linia 289, Pozitia 4), (Linia 291, Pozitia 3), (Linia 294, Pozitia 3), (Linia 345, Pozitia 3), (Linia 354, Pozitia 3), (Linia 358, Pozitia 7), (Linia 365, Pozitia 13), (Linia 369, Pozitia 11), (Linia 371, Pozitia 12), (Linia 371, Pozitia 16), (Linia 373, Pozitia 5), (Linia 375, Pozitia 3), (Linia 375, Pozitia 6), (Linia 403, Pozitia 17), (Linia 406, Pozitia 7), (Linia 418, Pozitia 5), (Linia 418, Pozitia 11), (Linia 428, Pozitia 6), (Linia 429, Pozitia 3), (Linia 442, Pozitia 6), (Linia 456, Pozitia 10), (Linia 459, Pozitia 4), (Linia 482, Pozitia 10), (Linia 496, Pozitia 12), (Linia 497, Pozitia 4), (Linia 497, Pozitia 15), (Linia 522, Pozitia 5), (Linia 527, Pozitia 3), (Linia 527, Pozitia 7), (Linia 587, Pozitia 5), (Linia 595, Pozitia 5), (Linia 599, Pozitia 11), (Linia 667, Pozitia 5), (Linia 673, Pozitia 12), (Linia 747, Pozitia 12), (Linia 749, Pozitia 5), (Linia 781, Pozitia 4), (Linia 810, Pozitia 3), (Linia 856, Pozitia 4), (Linia 858, Pozitia 12), (Linia 859, Pozitia 10), (Linia 868, Pozitia 4), (Linia 880, Pozitia 13), (Linia 881, Pozitia 13), (Linia 882, Pozitia 8), (Linia 883, Pozitia 6), (Linia 884, Pozitia 18), (Linia 896, Pozitia 10), (Linia 897, Pozitia 16), (Linia 899, Pozitia 2), (Linia 899, Pozitia 8), (Linia 900, Pozitia 16), (Linia 901, Pozitia 6), (Linia 902, Pozitia 10), (Linia 903, Pozitia 2), (Linia 905, Pozitia 4), (Linia 910, Pozitia 13), (Linia 912, Pozitia 17), (Linia 929, Pozitia 19), (Linia 938, Pozitia 7), (Linia 1009, Pozitia 5), (Linia 1036, Pozitia 3), (Linia 1036, Pozitia 13), (Linia 1040, Pozitia 13), (Linia 1059, Pozitia 2), (Linia 1062, Pozitia 12), (Linia 1079, Pozitia 1), (Linia 1093, Pozitia 6), (Linia 1093, Pozitia 9), (Linia 1099, Pozitia 3), (Linia 1124, Pozitia 1), (Linia 1127, Pozitia 12), (Linia 1138, Pozitia 10), (Linia 1138, Pozitia 17), (Linia 1140, Pozitia 1), (Linia 1150, Pozitia 6), (Linia 1160, Pozitia 12), (Linia 1162, Pozitia 5), (Linia 1165, Pozitia 10), (Linia 1171, Pozitia 9), (Linia 1174, Pozitia 13), (Linia 1191, Pozitia 2), (Linia 1191, Pozitia 14), (Linia 1193, Pozitia 17), (Linia 1211, Pozitia 13), (Linia 1213, Pozitia 4), (Linia 1223, Pozitia 7), (Linia 1228, Pozitia 5), (Linia 1242, Pozitia 4), (Linia 1242, Pozitia 9), (Linia 1256, Pozitia 17), (Linia 1262, Pozitia 4), (Linia 1268, Pozitia 18), (Linia 1269, Pozitia 4)"
mean,"(Linia 523, Pozitia 5), (Linia 607, Pozitia 5), (Linia 733, Pozitia 5), (Linia 738, Pozitia 2), (Linia 741, Pozitia 5), (Linia 872, Pozitia 5), (Linia 874, Pozitia 13), (Linia 877, Pozitia 15), (Linia 1180, Pozitia 5), (Linia 1185, Pozitia 5)"
meditative,"(Linia 130, Pozitia 5)"
means,"(Linia 608, Pozitia 2), (Linia 743, Pozitia 3), (Linia 878, Pozitia 8), (Linia 1107, Pozitia 1)"
measure,"(Linia 1007, Pozitia 4)"
mechanic,"(Linia 49, Pozitia 14)"
meditated,"(Linia 267, Pozitia 1)"
memories,"(Linia 180, Pozitia 18)"
meeting,"(Linia 775, Pozitia 15)"
meets,"(Linia 269, Pozitia 6)"
melancholy,"(Linia 142, Pozitia 5), (Linia 246, Pozitia 12), (Linia 388, Pozitia 9), (Linia 534, Pozitia 6), (Linia 1147, Pozitia 2), (Linia 1154, Pozitia 5)"
men,"(Linia 419, Pozitia 14), (Linia 508, Pozitia 6), (Linia 798, Pozitia 5), (Linia 799, Pozitia 6), (Linia 821, Pozitia 5), (Linia 832, Pozitia 5), (Linia 839, Pozitia 18), (Linia 844, Pozitia 16), (Linia 874, Pozitia 5), (Linia 896, Pozitia 8), (Linia 897, Pozitia 4), (Linia 910, Pozitia 2)"
memories,"(Linia 703, Pozitia 11), (Linia 704, Pozitia 1), (Linia 997, Pozitia 13)"
memory,"(Linia 455, Pozitia 1), (Linia 1015, Pozitia 5)"
men,"(Linia 1069, Pozitia 2)"
merchant,"(Linia 984, Pozitia 5), (Linia 985, Pozitia 4), (Linia 988, Pozitia 9)"
merchants,"(Linia 909, Pozitia 7), (Linia 909, Pozitia 13), (Linia 996, Pozitia 1)"
mistaken,"(Linia 190, Pozitia 7)"
midnight,"(Linia 1067, Pozitia 11)"
met,"(Linia 817, Pozitia 8), (Linia 1100, Pozitia 11)"
metallic,"(Linia 1134, Pozitia 8)"
meters,"(Linia 1125, Pozitia 4)"
middle,"(Linia 53, Pozitia 12), (Linia 67, Pozitia 10)"
miles,"(Linia 52, Pozitia 12), (Linia 65, Pozitia 2), (Linia 67, Pozitia 16), (Linia 73, Pozitia 4)"
might,"(Linia 191, Pozitia 13), (Linia 452, Pozitia 15), (Linia 496, Pozitia 10)"
migration,"(Linia 379, Pozitia 9), (Linia 380, Pozitia 9)"
mine,"(Linia 108, Pozitia 7)"
miles,"(Linia 776, Pozitia 7), (Linia 776, Pozitia 11), (Linia 1101, Pozitia 5)"
million,"(Linia 312, Pozitia 11), (Linia 552, Pozitia 8), (Linia 554, Pozitia 3), (Linia 555, Pozitia 10), (Linia 557, Pozitia 4), (Linia 564, Pozitia 16), (Linia 575, Pozitia 9), (Linia 576, Pozitia 6), (Linia 756, Pozitia 7), (Linia 757, Pozitia 1), (Linia 1225, Pozitia 12), (Linia 1226, Pozitia 1), (Linia 1246, Pozitia 14)"
millions,"(Linia 312, Pozitia 13)"
mind,"(Linia 772, Pozitia 7)"
minute,"(Linia 256, Pozitia 14)"
mine,"(Linia 318, Pozitia 3), (Linia 1174, Pozitia 18)"
minister,"(Linia 477, Pozitia 3)"
minute,"(Linia 497, Pozitia 11)"
minute,"(Linia 650, Pozitia 10), (Linia 651, Pozitia 1), (Linia 652, Pozitia 13)"
minutes,"(Linia 519, Pozitia 3), (Linia 655, Pozitia 4), (Linia 989, Pozitia 2), (Linia 990, Pozitia 8), (Linia 992, Pozitia 10)"
miraculous,"(Linia 331, Pozitia 8)"
misfortunes,"(Linia 118, Pozitia 5)"
missing,"(Linia 1141, Pozitia 7)"
months,"(Linia 21, Pozitia 12)"
mix,"(Linia 295, Pozitia 6)"
mistaken,"(Linia 783, Pozitia 5)"
misunderstanding,"(Linia 914, Pozitia 6)"
modest,"(Linia 343, Pozitia 10)"
moaned,"(Linia 1055, Pozitia 13), (Linia 1056, Pozitia 2)"
model,"(Linia 61, Pozitia 12)"
monarch,"(Linia 423, Pozitia 17), (Linia 433, Pozitia 7), (Linia 449, Pozitia 8), (Linia 449, Pozitia 14), (Linia 495, Pozitia 14)"
modestly,"(Linia 115, Pozitia 5), (Linia 514, Pozitia 13)"
moment,"(Linia 284, Pozitia 7), (Linia 1237, Pozitia 1)"
monotonous,"(Linia 896, Pozitia 4)"
monotony,"(Linia 519, Pozitia 13)"
month,"(Linia 653, Pozitia 12), (Linia 654, Pozitia 3)"
motionless,"(Linia 1236, Pozitia 13)"
morality,"(Linia 705, Pozitia 1), (Linia 713, Pozitia 7)"
moon,"(Linia 1023, Pozitia 16), (Linia 1037, Pozitia 9)"
moonlight,"(Linia 783, Pozitia 13)"
moralist,"(Linia 237, Pozitia 3)"
morning,"(Linia 228, Pozitia 1), (Linia 248, Pozitia 5), (Linia 309, Pozitia 12), (Linia 326, Pozitia 11), (Linia 336, Pozitia 3)"
more,"(Linia 29, Pozitia 2), (Linia 53, Pozitia 2), (Linia 127, Pozitia 5), (Linia 179, Pozitia 3), (Linia 187, Pozitia 16), (Linia 190, Pozitia 10), (Linia 224, Pozitia 12), (Linia 307, Pozitia 7), (Linia 316, Pozitia 5), (Linia 324, Pozitia 4), (Linia 475, Pozitia 4), (Linia 486, Pozitia 1), (Linia 516, Pozitia 3), (Linia 650, Pozitia 14), (Linia 802, Pozitia 4), (Linia 918, Pozitia 1), (Linia 918, Pozitia 6), (Linia 945, Pozitia 16), (Linia 998, Pozitia 7), (Linia 1036, Pozitia 18), (Linia 1042, Pozitia 18), (Linia 1065, Pozitia 4), (Linia 1078, Pozitia 13), (Linia 1158, Pozitia 3), (Linia 1209, Pozitia 6), (Linia 1263, Pozitia 14)"
morning,"(Linia 381, Pozitia 1)"
morning,"(Linia 383, Pozitia 1), (Linia 390, Pozitia 2), (Linia 509, Pozitia 2), (Linia 549, Pozitia 2), (Linia 644, Pozitia 1), (Linia 819, Pozitia 2), (Linia 820, Pozitia 2), (Linia 833, Pozitia 2), (Linia 845, Pozitia 2), (Linia 847, Pozitia 2), (Linia 863, Pozitia 2), (Linia 864, Pozitia 2), (Linia 962, Pozitia 2), (Linia 963, Pozitia 2), (Linia 983, Pozitia 2), (Linia 984, Pozitia 2), (Linia 1100, Pozitia 9)"
most,"(Linia 485, Pozitia 12), (Linia 524, Pozitia 11), (Linia 525, Pozitia 3), (Linia 734, Pozitia 7), (Linia 1039, Pozitia 3), (Linia 1262, Pozitia 6)"
mouth,"(Linia 618, Pozitia 5)"
mountain,"(Linia 717, Pozitia 7), (Linia 735, Pozitia 11), (Linia 740, Pozitia 8), (Linia 829, Pozitia 7), (Linia 831, Pozitia 3)"
mountains,"(Linia 690, Pozitia 12), (Linia 695, Pozitia 8), (Linia 701, Pozitia 11), (Linia 710, Pozitia 11), (Linia 829, Pozitia 10)"
movement,"(Linia 748, Pozitia 5)"
move,"(Linia 21, Pozitia 5), (Linia 1047, Pozitia 5), (Linia 1235, Pozitia 17)"
moved,"(Linia 719, Pozitia 5)"
movements,"(Linia 761, Pozitia 12)"
moves,"(Linia 1040, Pozitia 12)"
moving,"(Linia 343, Pozitia 15)"
night,"(Linia 38, Pozitia 14)"
mystery,"(Linia 72, Pozitia 3), (Linia 120, Pozitia 7)"
must,"(Linia 167, Pozitia 7), (Linia 173, Pozitia 11), (Linia 193, Pozitia 3)"
much,"(Linia 61, Pozitia 7), (Linia 98, Pozitia 4), (Linia 117, Pozitia 16), (Linia 147, Pozitia 6), (Linia 164, Pozitia 9), (Linia 164, Pozitia 15), (Linia 179, Pozitia 2), (Linia 230, Pozitia 2), (Linia 241, Pozitia 3), (Linia 305, Pozitia 16), (Linia 386, Pozitia 7), (Linia 485, Pozitia 16), (Linia 555, Pozitia 20), (Linia 667, Pozitia 6), (Linia 685, Pozitia 1), (Linia 708, Pozitia 8), (Linia 782, Pozitia 9), (Linia 811, Pozitia 2), (Linia 854, Pozitia 17), (Linia 906, Pozitia 11), (Linia 922, Pozitia 3), (Linia 1065, Pozitia 3), (Linia 1148, Pozitia 2), (Linia 1148, Pozitia 6), (Linia 1225, Pozitia 5)"
mushroom,"(Linia 300, Pozitia 14)"
music,"(Linia 899, Pozitia 15), (Linia 1067, Pozitia 8), (Linia 1171, Pozitia 14)"
myself,"(Linia 31, Pozitia 8), (Linia 44, Pozitia 11), (Linia 50, Pozitia 9)"
must,"(Linia 369, Pozitia 15), (Linia 405, Pozitia 2), (Linia 461, Pozitia 4), (Linia 912, Pozitia 2), (Linia 958, Pozitia 11), (Linia 1075, Pozitia 7), (Linia 1078, Pozitia 2), (Linia 1205, Pozitia 14)"
muzzle,"(Linia 319, Pozitia 17), (Linia 1081, Pozitia 6), (Linia 1091, Pozitia 5), (Linia 1153, Pozitia 17), (Linia 1247, Pozitia 7)"
my,"(Linia 13, Pozitia 2), (Linia 23, Pozitia 5), (Linia 24, Pozitia 3), (Linia 24, Pozitia 12), (Linia 33, Pozitia 6), (Linia 33, Pozitia 10), (Linia 39, Pozitia 8), (Linia 40, Pozitia 14), (Linia 41, Pozitia 16), (Linia 49, Pozitia 6), (Linia 54, Pozitia 2), (Linia 58, Pozitia 4), (Linia 58, Pozitia 16), (Linia 61, Pozitia 2), (Linia 61, Pozitia 16), (Linia 62, Pozitia 4), (Linia 65, Pozitia 8), (Linia 73, Pozitia 18), (Linia 91, Pozitia 5), (Linia 94, Pozitia 15), (Linia 98, Pozitia 11), (Linia 109, Pozitia 12), (Linia 110, Pozitia 2), (Linia 112, Pozitia 13), (Linia 118, Pozitia 4), (Linia 122, Pozitia 14), (Linia 124, Pozitia 15), (Linia 128, Pozitia 6), (Linia 129, Pozitia 2), (Linia 137, Pozitia 2), (Linia 180, Pozitia 8), (Linia 181, Pozitia 5), (Linia 184, Pozitia 14), (Linia 232, Pozitia 7), (Linia 238, Pozitia 16), (Linia 239, Pozitia 14), (Linia 273, Pozitia 18), (Linia 274, Pozitia 5), (Linia 277, Pozitia 17), (Linia 285, Pozitia 9), (Linia 291, Pozitia 5), (Linia 291, Pozitia 8), (Linia 291, Pozitia 11), (Linia 308, Pozitia 16), (Linia 317, Pozitia 1), (Linia 317, Pozitia 7), (Linia 317, Pozitia 9), (Linia 317, Pozitia 11), (Linia 317, Pozitia 14), (Linia 318, Pozitia 15), (Linia 351, Pozitia 6), (Linia 370, Pozitia 13), (Linia 399, Pozitia 13), (Linia 407, Pozitia 5), (Linia 436, Pozitia 15), (Linia 463, Pozitia 14), (Linia 465, Pozitia 2), (Linia 467, Pozitia 17), (Linia 481, Pozitia 14), (Linia 489, Pozitia 11), (Linia 501, Pozitia 4), (Linia 590, Pozitia 14), (Linia 604, Pozitia 11), (Linia 605, Pozitia 3), (Linia 608, Pozitia 12), (Linia 616, Pozitia 1), (Linia 616, Pozitia 8), (Linia 635, Pozitia 5), (Linia 676, Pozitia 10), (Linia 793, Pozitia 4), (Linia 837, Pozitia 2), (Linia 858, Pozitia 7), (Linia 897, Pozitia 17), (Linia 920, Pozitia 6), (Linia 923, Pozitia 13), (Linia 940, Pozitia 7), (Linia 941, Pozitia 9), (Linia 942, Pozitia 7), (Linia 945, Pozitia 1), (Linia 949, Pozitia 14), (Linia 952, Pozitia 7), (Linia 957, Pozitia 7), (Linia 960, Pozitia 5), (Linia 995, Pozitia 8), (Linia 996, Pozitia 8), (Linia 998, Pozitia 2), (Linia 1004, Pozitia 5), (Linia 1009, Pozitia 8), (Linia 1014, Pozitia 13), (Linia 1015, Pozitia 4), (Linia 1017, Pozitia 6), (Linia 1034, Pozitia 10), (Linia 1035, Pozitia 11), (Linia 1060, Pozitia 16), (Linia 1066, Pozitia 5), (Linia 1081, Pozitia 8), (Linia 1082, Pozitia 4), (Linia 1082, Pozitia 8), (Linia 1091, Pozitia 9), (Linia 1094, Pozitia 3), (Linia 1115, Pozitia 17), (Linia 1116, Pozitia 7), (Linia 1121, Pozitia 3), (Linia 1123, Pozitia 9), (Linia 1128, Pozitia 3), (Linia 1130, Pozitia 4), (Linia 1132, Pozitia 3), (Linia 1132, Pozitia 8), (Linia 1135, Pozitia 3), (Linia 1135, Pozitia 5), (Linia 1143, Pozitia 14), (Linia 1144, Pozitia 5), (Linia 1165, Pozitia 6), (Linia 1179, Pozitia 5), (Linia 1183, Pozitia 2), (Linia 1191, Pozitia 7), (Linia 1228, Pozitia 8), (Linia 1231, Pozitia 4)"
myself,"(Linia 215, Pozitia 5), (Linia 231, Pozitia 9), (Linia 240, Pozitia 11), (Linia 284, Pozitia 11), (Linia 425, Pozitia 5), (Linia 488, Pozitia 8), (Linia 556, Pozitia 9), (Linia 857, Pozitia 9), (Linia 1038, Pozitia 13), (Linia 1040, Pozitia 10), (Linia 1244, Pozitia 5), (Linia 1248, Pozitia 18), (Linia 1250, Pozitia 5), (Linia 1253, Pozitia 5)"
mysterious,"(Linia 321, Pozitia 18), (Linia 335, Pozitia 8), (Linia 1028, Pozitia 8)"
needs,"(Linia 10, Pozitia 13)"
names,"(Linia 148, Pozitia 7), (Linia 150, Pozitia 6)"
mystery,"(Linia 1256, Pozitia 5)"
naive,"(Linia 282, Pozitia 13), (Linia 362, Pozitia 4), (Linia 1231, Pozitia 17)"
naively,"(Linia 408, Pozitia 3)"
neck,"(Linia 604, Pozitia 12)"
narratives,"(Linia 723, Pozitia 1)"
nasty,"(Linia 1194, Pozitia 12)"
near,"(Linia 743, Pozitia 9), (Linia 927, Pozitia 15), (Linia 1236, Pozitia 8)"
necessary,"(Linia 221, Pozitia 10), (Linia 228, Pozitia 15), (Linia 1043, Pozitia 3)"
need,"(Linia 81, Pozitia 8), (Linia 488, Pozitia 13), (Linia 881, Pozitia 6), (Linia 881, Pozitia 12), (Linia 882, Pozitia 11), (Linia 986, Pozitia 7)"
needed,"(Linia 178, Pozitia 4)"
needles,"(Linia 832, Pozitia 12)"
never,"(Linia 33, Pozitia 14), (Linia 78, Pozitia 4), (Linia 108, Pozitia 3), (Linia 162, Pozitia 4), (Linia 162, Pozitia 11), (Linia 191, Pozitia 6), (Linia 224, Pozitia 6), (Linia 277, Pozitia 4), (Linia 297, Pozitia 12), (Linia 298, Pozitia 1), (Linia 298, Pozitia 7), (Linia 298, Pozitia 12), (Linia 306, Pozitia 5), (Linia 369, Pozitia 16), (Linia 375, Pozitia 9), (Linia 383, Pozitia 14), (Linia 389, Pozitia 4), (Linia 418, Pozitia 9), (Linia 465, Pozitia 9), (Linia 511, Pozitia 1), (Linia 521, Pozitia 9)"
neglected,"(Linia 234, Pozitia 17)"
neither,"(Linia 43, Pozitia 15), (Linia 49, Pozitia 12), (Linia 65, Pozitia 14), (Linia 1007, Pozitia 11)"
never,"(Linia 557, Pozitia 16)"
next,"(Linia 533, Pozitia 2), (Linia 915, Pozitia 2)"
never,"(Linia 615, Pozitia 13), (Linia 692, Pozitia 9), (Linia 727, Pozitia 12), (Linia 728, Pozitia 2), (Linia 734, Pozitia 14), (Linia 741, Pozitia 12), (Linia 767, Pozitia 4), (Linia 823, Pozitia 20), (Linia 919, Pozitia 16), (Linia 974, Pozitia 3), (Linia 1007, Pozitia 9), (Linia 1106, Pozitia 7), (Linia 1160, Pozitia 4), (Linia 1241, Pozitia 12), (Linia 1248, Pozitia 9)"
new,"(Linia 162, Pozitia 1), (Linia 247, Pozitia 14), (Linia 329, Pozitia 9)"
next,"(Linia 1116, Pozitia 1)"
nice,"(Linia 1005, Pozitia 2), (Linia 1222, Pozitia 3), (Linia 1268, Pozitia 14)"
nicest,"(Linia 731, Pozitia 8)"
old,"(Linia 17, Pozitia 6)"
not,"(Linia 11, Pozitia 5), (Linia 21, Pozitia 4), (Linia 27, Pozitia 4), (Linia 40, Pozitia 11)"
nobody,"(Linia 156, Pozitia 3)"
night,"(Linia 52, Pozitia 3), (Linia 131, Pozitia 13), (Linia 403, Pozitia 14), (Linia 490, Pozitia 4), (Linia 644, Pozitia 6), (Linia 644, Pozitia 21), (Linia 785, Pozitia 2), (Linia 786, Pozitia 2), (Linia 1013, Pozitia 9), (Linia 1111, Pozitia 4), (Linia 1168, Pozitia 19), (Linia 1174, Pozitia 6), (Linia 1186, Pozitia 8), (Linia 1199, Pozitia 2), (Linia 1210, Pozitia 2), (Linia 1246, Pozitia 5), (Linia 1250, Pozitia 15), (Linia 1254, Pozitia 17)"
nine,"(Linia 755, Pozitia 10)"
ninetytwo,"(Linia 551, Pozitia 1)"
no,"(Linia 48, Pozitia 6), (Linia 184, Pozitia 17), (Linia 278, Pozitia 5), (Linia 284, Pozitia 3), (Linia 287, Pozitia 3), (Linia 287, Pozitia 6), (Linia 325, Pozitia 16), (Linia 351, Pozitia 3), (Linia 355, Pozitia 3), (Linia 399, Pozitia 17), (Linia 480, Pozitia 4), (Linia 482, Pozitia 2), (Linia 484, Pozitia 6), (Linia 566, Pozitia 7), (Linia 569, Pozitia 3), (Linia 571, Pozitia 3), (Linia 594, Pozitia 7), (Linia 597, Pozitia 12), (Linia 598, Pozitia 6), (Linia 599, Pozitia 8), (Linia 618, Pozitia 8), (Linia 650, Pozitia 13), (Linia 677, Pozitia 3), (Linia 782, Pozitia 13), (Linia 790, Pozitia 7), (Linia 908, Pozitia 12), (Linia 909, Pozitia 12), (Linia 910, Pozitia 3), (Linia 926, Pozitia 2), (Linia 986, Pozitia 3), (Linia 1001, Pozitia 5), (Linia 1030, Pozitia 2), (Linia 1051, Pozitia 15), (Linia 1119, Pozitia 3), (Linia 1184, Pozitia 1), (Linia 1209, Pozitia 5), (Linia 1258, Pozitia 4), (Linia 1261, Pozitia 2)"
nonsense,"(Linia 556, Pozitia 11)"
nobody,"(Linia 789, Pozitia 6)"
nodded,"(Linia 122, Pozitia 8)"
noise,"(Linia 562, Pozitia 7), (Linia 1132, Pozitia 17), (Linia 1237, Pozitia 19)"
nonchalance,"(Linia 769, Pozitia 12)"
noon,"(Linia 255, Pozitia 5)"
nor,"(Linia 44, Pozitia 2), (Linia 44, Pozitia 6), (Linia 49, Pozitia 15), (Linia 66, Pozitia 2), (Linia 66, Pozitia 6), (Linia 66, Pozitia 10), (Linia 66, Pozitia 14), (Linia 1007, Pozitia 13), (Linia 1030, Pozitia 8)"
noses,"(Linia 978, Pozitia 7)"
numerous,"(Linia 226, Pozitia 1)"
noticed,"(Linia 356, Pozitia 13)"
